,item,test,predict,rmse
m+1,EFX-FLY-BLK,2,0,3.32
m+2,EFX-FLY-BLK,2,0,NA
m+3,EFX-FLY-BLK,5,0,NA
m+1,M80-2B-BLK,1,0,1.41
m+2,M80-2B-BLK,1,3,NA
m+3,M80-2B-BLK,1,0,NA
m+1,M80-2G-BLK,5,0,3.74
m+2,M80-2G-BLK,4,3,NA
m+3,M80-2G-BLK,5,1,NA
m+1,M80-AC-BLK,0,2,1.29
m+2,M80-AC-BLK,0,0,NA
m+3,M80-AC-BLK,1,0,NA
m+1,M80-AD-BLK,3,4,0.82
m+2,M80-AD-BLK,1,2,NA
m+3,M80-AD-BLK,0,0,NA
m+1,M80-BTY-BLK-L,3,0,1.91
m+2,M80-BTY-BLK-L,1,0,NA
m+3,M80-BTY-BLK-L,1,0,NA
m+1,M80-BTY-BLK-S,0,0,1.29
m+2,M80-BTY-BLK-S,2,0,NA
m+3,M80-BTY-BLK-S,1,0,NA
m+1,M80-EB-BLK,3,0,1.83
m+2,M80-EB-BLK,1,1,NA
m+3,M80-EB-BLK,1,0,NA
m+1,M80-EG-BLK,2,0,2.08
m+2,M80-EG-BLK,0,0,NA
m+3,M80-EG-BLK,3,0,NA
m+1,M80-SEB-BLK,0,3,2.94
m+2,M80-SEB-BLK,3,4,NA
m+3,M80-SEB-BLK,0,4,NA
m+1,M80-SEG-ASH,1,0,0.82
m+2,M80-SEG-ASH,1,1,NA
m+3,M80-SEG-ASH,1,0,NA
m+1,M80-SEG-BLK,2,3,2.16
m+2,M80-SEG-BLK,0,3,NA
m+3,M80-SEG-BLK,2,0,NA
m+1,M80-TICK-V2-BLK,4,0,3.11
m+2,M80-TICK-V2-BLK,3,0,NA
m+3,M80-TICK-V2-BLK,2,0,NA
m+1,M80-TOUR-V2-BLK,1,2,1.41
m+2,M80-TOUR-V2-BLK,1,0,NA
m+3,M80-TOUR-V2-BLK,2,0,NA
m+1,M80-VAD-BLK,3,5,3.11
m+2,M80-VAD-BLK,0,4,NA
m+3,M80-VAD-BLK,3,6,NA
m+1,M80-VEB-BLK,2,4,2.71
m+2,M80-VEB-BLK,3,6,NA
m+3,M80-VEB-BLK,3,6,NA
m+1,M80-VEB-GRY,0,3,2.08
m+2,M80-VEB-GRY,1,1,NA
m+3,M80-VEB-GRY,0,2,NA
m+1,M80-VEG-BLK,2,1,1.41
m+2,M80-VEG-BLK,3,2,NA
m+3,M80-VEG-BLK,2,0,NA
m+1,M80-VEG-GRY,3,0,2.38
m+2,M80-VEG-GRY,2,0,NA
m+3,M80-VEG-GRY,2,0,NA
m+1,M80-VHB-BLK,0,0,0.0
m+2,M80-VHB-BLK,4,4,NA
m+3,M80-VHB-BLK,0,0,NA
